"Ecocrop_code","Authority","Family","Synonyms","Common_names","Editor","Notes","Sources"
"5906","Sieb.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","cabbage gum, white sally","","BRIEF DESCRIPTION  Usually a small to medium sized tree 10-20 m tall but it can reach 30 m. At high altitudes it is commonly a shrub or low twisted tree much buffeted by the wind. The trunk may reach 100 cm in diameter, it is often short, crooked and strongly branched from near the ground. Heartwood light pinkish brown, rather light and moderately strong. USES  The wood is used for fence posts and firewood, but the species have more value in conserving the alpine ecosystems and in providing shelter for grazing animals. GROWING PERIOD  Perennial. COMMON NAMES  Snow gum, Cabbage gum, Weeping gum, White salee. FURTHER INF  In Australia, the latitudinal range of the tree is 28-43.7°S and it occur at elevations up to about 1500 m. The tree occur on mountain slopes, exposed ridge tops and tablelands, as well as plains at lower altitudes. (pH estimated by the compiler).","SOURCES (E. pauciflora Sieber ex Sprengel ssp. pauciflora)
Boland D 1984 pp 322-325 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]
Eldridge K 1993 pp 45 [RAIN, TEMP, KTMP]"
"5907","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree 15-40 m in height and 100 cm in diameter. At its best it has a straight trunk to about 1/2 of the tree height and a large heavily branched crown. On the poorest sites it can be reduced to a 5-10 m tall shrub. Sapwood pale pink, hardwood dark red, grain somewhat interlocked, moderately coarse-textured and durable. USES  The wood is easy to work and finishes well, used for flooring, cladding, panelling, sills and general construction purposes. GROWING PERIOD  Perennial. Can reach a height of 13-15 m in 3.5 years, and an be grown on 4-8 years coppice rotations. COMMON NAMES  Large-fruited red mahogany, Red mahogany, Daintree stringybark. FURTHER INF  Scientific synonym: E. spectabilis. Red mahogany can be found at elevations between sea level and 1000 m. The species is indigenous to the East coast of Australia, the northern provenances between 12-18°S, and the southern provenances between 27-36°S. It mainly occurs on gentle to moderate topography but it can also be found on steep slopes and almost bare rock. Mentioned as a possible agroforestry species.","SOURCES (Eucalyptus pellita F. Muell.)
Webb D 1984 pp 166 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
National RC 1983c pp 14-15 [USE, TEMP, RAIN, DRA, DEP, TEXT]
INSPIRE species 83 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 370-371 [TEMP, KTMP, RAIN, TEXT, DEP, DRA]
Hensleight T 1988 pp 378 [TEMP, KTMP, RAIN, TEXT, USE]"
"5908","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A small tree reaching 6-12 m in height, while the trunk may reach  30 cm in diameter. The trunk usually attains less than one-half of the tree height, it often divides into two or more stems which, in turn, divide to form a moderately large somewhat open crown. The tree has very handsome scarlet or orange flowers. Sapwood white, heartwood dark brown. 
USES  Used as ornamental. GROWING PERIOD  Perennial. COMMON NAMES  Scarlet gum, Ngainggar. FURTHER INF  In Australia, the latitudinal range of the tree is 12-17°S and it occur at elevations between sea level and 300 m. It occurs on gently to steep rocky slopes, poor and stony terrain. (pH estimated by the compiler).","SOURCES (E. phoenicea F. Muell.) 
Boland D 1984 pp 246-247 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5909","Smith","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","flintwood, black butt","","BRIEF DESCRIPTION  A tall tree reaching up to 70 m in height, while the trunk may reach 300 cm in diameter. The trunk is straight and one-half to two-thirds of the tree height. The crown is usually dense. Heartwood light brown, coarse-textured, grain usually straight, hard, strong, tough, but not difficult to work, rather slow drying, with moderate to good durability. USES  The wood is used for general building construction, flooring, poles, railway sleepers and pulp. GROWING PERIOD  Perennial. COMMON NAMES  Blackbutt. FURTHER INF  In Australia, the latitudinal range of the tree is 25.5-37.5°S and it occur at elevations between sea level and 600 m. The tree is typically found on gentle slopes of hilly country near the sea. (pH estimated by the compiler).","SOURCES (Eucalyptus pilularis Smith)
Boland D 1984 pp 292-293 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]
Eldridge K 1993 pp 45 [RAIN, TEMP, KTMP]"
"5910","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree reaching 20-30 m in height, while the trunk may reach 100 cm in diameter. Often a small tree of rather poor form. Heartwood light to dark brown, hard, moderately heavy and durable. USES  The wood is used for heavy engineering construction, railway sleepers, poles, crossarms, sills, flooring and decking. GROWING PERIOD  Perennial. COMMON NAMES  Needlebark stringybark, Planchon's stringybark, Bastard tallowwood. FURTHER INF  In Australia, the latitudinal range of the tree is 27-32°S and it occur at elevations between sea level and 1000 m. The tree is mainly found on the low ridges and gentle slopes of coastal lowlands. (pH estimated by the compiler).","SOURCES (E. planchoniana F. Muell.) 
Boland D 1984 pp 298-299 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5911","Sc.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","Australian beech, poplar box, red box gum, eucalipto faia","","BRIEF DESCRIPTION  A medium sized tree 10-15 m in height, while the trunk may reach a diameter of 30-100 cm. The trunk is often short and not of the best form, and the crown is usually rounded and quite dense. Heartwood red, with fine texture and interlocked grain, hard, tough, strong and durable. USES  The wood dries slowly and is difficult to season, it is used for fencing and is a good firewood. GROWING PERIOD  Perennial. COMMON NAMES  Red box. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 32.5-38°S at altitudes between 120-800 m. Red box can be found on foothills, lowland ranges and gentle slopes between the open plains and higher mountain slopes. (pH estimated by the compiler).","SOURCES (E. polyanthemos Schauer)
Boland D 1984 pp 536-537 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5912","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized tree reaching up to 25 m in height, while the trunk may reach 70 cm in diameter. The bole is from short to more than one-half of the height of the tree and from poorly shaped to almost straight. The crown is open with large branches. Heartwood reddish, hard and strong. USES  Heartwood durable in the ground, used in the round or split for posts, strainers and other farm timber and occasionally sawn for general construction. Also a good fuel wood. GROWING PERIOD  Perennial. Withstands a dry season of 5-6 months. COMMON NAMES  Long-fruited bloodwood. FURTHER INF  In Australia, the latitudinal range of the tree is 10.5-30.5°S and it occur at elevations between sea level and 800 m, with the main occurrence below 400 m. Long-fruited bloodwood is mainly found on undulating country and plains and the associated small ridges and hills. It also occurs on river flats, beach-dune woodlands and the margins of swamps. (pH estimated by the compiler).","SOURCES (E. polycarpa F. Muell.) 
Boland D 1984 pp 216-217 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5913","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","bimble box","","BRIEF DESCRIPTION  A small to medium sized tree 8-20 m in height, while the trunk may reach a diameter of 80 cm. It commonly has a trunk of çrelatively poor form up to about 1/2 of the tree height, with a medium sized compact crown. Heartwood pale brown, hard, strong and durable. USES  The wood is used for fencing and firewood. It is a good shade and shelter tree. GROWING PERIOD  Perennial. COMMON NAMES  Poplar box, Bimble box. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 20-34.5°S at altitudes between 100-500 m. It is commonly found on inland plains and gentle slopes, but extends to broad valleys and coastal plains. (pH estimated by the compiler).","SOURCES (Eucalyptus populnea F. Muell.)
Boland D 1984 pp 496-497 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5915","D.& M.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree up to 35-40 m in height and with a trunk diameter of up to 100 cm. The form is typically good, with a straight trunk which may be 1/2 to 2/3 of the tree height, while the crown is open and moderately small. Sapwood pale red, heartwood red to red-brown, coarse but uniform in texture, with interlocked grain, very hard, strong, tough and very durable. USES  The wood is used for heavy engineering, poles and railway sleepers. GROWING PERIOD  Perennial. COMMON NAMES  Grey gum, Small-fruited grey gum. FURTHER INF  Grey gum can in tropical and subtropical regions be found at elevations between sea level and 1500 m. The natural latitudinal range in Australia is 24-33°S. The tree is usually found on lowlands and low hills and ridges of undulating to hilly country mostly within 100 km of the sea, preferring slopes to valley floors.","SOURCES (E. propinqua Deane & Maiden)
Webb D 1984 pp 167 [RAIN, TEMP, TEXT, PH, DRA, DEP, LIG, USE]
INSPIRE species 84 [RAIN, TEMP, TEXT, PH, DRA, DEP, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 374-375 [TEMP, KTMP, RAIN, TEXT, DRA]"
"5917","Desf.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A small to medium sized tree reaching 9-21 m in height, while the trunk may reach 80 cm in diameter. The trunks of trees growing in open situations may divide, while trees growing in more closed situation usually have long straight boles. The tree often has a handsome appearance. Heartwood light brown, of moderately high density. USES  The wood is used for woodchip for pulp and as firewood. GROWING PERIOD  Perennial. COMMON NAMES  White peppermint. FURTHER INF  Scientific synonym: E. linearis. In Australia, the latitudinal range of the tree is 42-43.5°S and it occur at elevations mainly  between 150-450 m. The tree is found on hilly to undulating country. (pH estimated by the compiler).","SOURCES (Eucalyptus pulchella Desf.)
Boland D 1984 pp 336-337 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5918","DC.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","grey gum","","BRIEF DESCRIPTION  A medium sized to tall tree up to 10-35 m in height, with a trunk diameter of up to 100 cm. On good sites the tree has a straight bole and a good form, while on poor soils it may have a short bole and a deep, much branched crown. Sapwood pale red, heartwood red, hard, heavy, strong and very durable, with a coarse, uniform texture and generally interlocked grain. USES  The wood is used for heavy engineering construction, poles and railway sleepers. GROWING PERIOD  Perennial. COMMON NAMES  Grey gum. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 23.7-35.2°S at altitudes between sea level and 900 m. It can be found on low hills and ridges of undulating country along the coastal area and on the ridges and slopes of tablelands. (pH estimated by the compiler). Individual varieties: var. punctata is endemic within the latitudinal range 32-35°S, var. didyma is native of the latitudinal range 26´-32°S, var. longirostrata is endemic within the latitudinal range 23 3/4-27 3/4°S and var. grandiflora is native of the latitudinal range 32-32°S.","SOURCES (Eucalyptus punctata DC.)
Boland D 1984 pp 376-379 [TEMP, RAIN, DRA, TEXT, DEP, FER, USE]"
"5919","DC.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A tall tree up to 45 m in height, while the trunk may reach a diameter of 150 cm. In open situations the tree often retain the branches to near ground level, while in forests it often has a long, straight bole. Heartwood pale yellow-brown, fine-textured, very hard and durable. USES  The wood is used for heavy engineering construction, poles and sleepers. GROWING PERIOD  Perennial. COMMON NAMES  White-topped box. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 28-35°S at altitudes between 100-900 m.","SOURCES (E. quadrangulata Deane & Maiden)
Boland D 1984 pp 460-461 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5920","F. M. Bailey.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree reaching 10-30 m in height, while the trunk may reach 100 cm in diameter. Growing in open conditions the smaller trees often retain foliage to near ground level. Heartwood light brown, moderately coarse-textured, generally straight-grained and moderately durable. USES  The wood is used for general construction. Shrinkage on seasoning is rather high. GROWING PERIOD  Perennial. COMMON NAMES  Narrow-leaved peppermint, Peppermint. FURTHER INF  In Australia, the latitudinal range of the tree is 28-39°S and it occur at elevations between 50-1200 m. (pH estimated by the compiler).","SOURCES (E. radiata Sieber ex DC. ssp radiata) 
Boland D 1984 pp 342-343 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5921","","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree reaching up to 50 m in height, while the trunk may reach 150 cm in diameter. The trunk is usually straight and the crown dense. Sapwood fairly wide, hardwood light brown, generally straight-grained, moderately hard and strong, moderately durable and fissile. USES  The wood is used for general construction where shrinkage can be tolerated and joinery material. GROWING PERIOD  Perennial. COMMON NAMES  Narrow-leaved peppermint. FURTHER INF  In Australia, the latitudinal range of the tree is 33-38°S and it occur at elevations between 200-1200 m. The tree thrives best on hill and mountain slopes, especially the more sheltered aspects, and broad valleys. (pH estimated by the compiler).","SOURCES (E. radiata Sieber ex DC. ssp. robertsonii)
Boland D 1984 pp 344-345 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5922","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","Australian mountain ash, Australian oak","","BRIEF DESCRIPTION  Mountain ash is one of the tallest forest trees in the world, it usually reach 55-75 m in height, but it can reach up to 100 m. The trunk is typically straight, of excellent form, commnly two-thirds or more of the tree height and up to 250 cm or more in diameter. The crown is open and relatively small. Sapwood up to 2.5 cm wide, hardwood pale brown with open texture, straight grain and often prominent growth rings, moderately strong and hard but not durable. USES  The wood is easily split and worked, used for engineering and building construction, marine craft, flooring, architraves, furniture, plywood, and is excelent for pulp production for the manufacture of paper. GROWING PERIOD  Perennial evergreen tree. COMMON NAMES  Mountain ash, Giant gum, Peppermint gum, Swamp gum, Stringy gum. FURTHER INF  Mountain ash can in tropical and subtropical regions be found at elevations from 300 to 3200 m. The natural latitudinal range in Australia is 37-43°S. The tree thrives on sheltered aspects in mountainous country. Annual wood production potential is 11-25 m3/ha.","SOURCES (Eucalyptus regnans F. Muell.)
Webb D 1980 pp 156 [RAIN, TEMP, TEXT, PH, DRA, DEP, LIG, USE]
Troup R 1921 pp 568 
INSPIRE species 85 [RAIN, TEMP, TEXT, PH, DRA, DEP, LIG, USE]
Eldridge K 1993 pp 45
Pryor L 1994 (pers. comm.)
Booth T 1990 pp 51
Boland D 1984 pp 310-311 [TEMP, KTMP, RAIN, TEXT, DEP, FER]"
"5923","Smith","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","red mahogany gum","","BRIEF DESCRIPTION  A medium sized to tall evergreen tree reaching up to 45 m in height, with a trunk diameter of 100-150 cm. Often with a clear, straight bole for 1/2 to 2/3 of the tree height. Sapwood pale pink, heartwood dark red, moderately coarse-textured, grain somewhat interlocked and durable. USES  The wood is easy to work and finishes well, used for flooring, cladding, panelling, sills, bridge decking and general construction purposes. GROWING PERIOD  Perennial. COMMON NAMES  Red mahogany. FURTHER INF  Scientific synonym: E. hemilampia. Red mahogany can in tropical and subtropical regions be found at elevations from 100 to 2000 m. The natural latitudinal range in Australia is 14-35°S. The tree is shade tolerant in youth. Annual wood production potential is 5-20 m3/ha.","SOURCES (Eucalyptus resinifera Smith)
Webb D 1984 pp 169 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Troup R 1921 pp 584
INSPIRE species 86 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 372-373 [TEMP, KTMP, RAIN, TEXT, FER]"
"5924","Endl.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","desert gum, moitch, eucalipto do deserto","","BRIEF DESCRIPTION  A medium sized tree reaching up to 10-20 m, while the trunk may reach a diameter of 100 cm. The trunk is usually of poor form and the crown spreading. Heartwood pale brown to reddish, heavy, hard, cross-grained and of low durability. USES  The wood is mainly used as fuel. GROWING PERIOD  Perennial. COMMON NAMES  Western Australian flooded gum, Swamp gum. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 28-35°S at altitudes between sea level and 350 m. The tree mainly occurs on river flats and along stream banks and even in the bed of seasonal streams. (pH estimated by the compiler).","SOURCES (Eucalyptus rudis Endl.)
Boland D 1984 pp 430-431 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5925","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","salmon gum tree, eucalipto salmao","","BRIEF DESCRIPTION  A medium sized to tall evergreen tree reaching up to 15-30 m, while the trunk may reach a diameter of 60-100 cm. The trunk is usually only about 1/3 of the tree height and the crown is large. Heartwood red to red-brown, straight-grained, very strong and durable. USES  The wood is used for round and sawn mining timber, firewood and second class railway sleepers. GROWING PERIOD  Perennial. COMMON NAMES  Salmon gum. FURTHER INF
Salmon gum can be found at elevations between sea level and 1800 m. The natural latitudinal range in Australia is 29.5-33.5°S. It is usually found on plains and low hilly country. It is adapted to winter rainfall areas.","SOURCES (E. salmonophloia F. Muell.)
Webb D 1984 pp 172 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
INSPIRE species 89 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 410-411 [TEMP, KTMP, RAIN, TEXT, FER]"
"5926","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","gimlet","","BRIEF DESCRIPTION  A small to medium sized tree up to 8-25 m in height, with a trunk diameter of up to 60 cm. The trunk can be up to 1/2 of the tree height but it often branches near ground level. The crown is moderately dense. Heartwood pale brown, dense and strong. USES  The wood is used for poles, posts, minor constructions and firewood. The bark contains 18-20% tannin. GROWING PERIOD  Perennial. COMMON NAMES  Gimlet. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 28.5-33°S at altitudes between 100-350 m. It is not a coastal species and it mainly occur on plains or country of only slight relief. (pH estimated by the compiler).","SOURCES (Eucalyptus salubris F. Muell.)
Boland D 1984 pp 400-401 [TEMP, KTMP, RAIN, FER, DRA, TEXT, DEP, USE]"
"5927","Maiden","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A small evergreen tree up to 8-10 m in height, with a trunk diameter of up to 60 cm. The trunk is usually short, branching low with steeply ascending primary branches. Heartwood pale brown, tough, dense and straight-grained. USES  The wood is used as fuel and charcoal. It is a source of tannin and the tree provides shade, shelter, and windbreaks. GROWING PERIOD  Perennial. COMMON NAMES  Salt river mallet, Salt river gum, Sargent's mallet. FURTHER INF  Photosynthesis pathway C3. Salt river mallet can be found at elevations between sea level and 1500 m. The natural latitudinal range in Australia is 31-34°S. Primarily found in low-lying areas of poor drainage.","SOURCES (Eucalyptus sargentii Maiden)
Webb D 1984 pp 173 [RAIN, TEMP, TEXT, PH, DRA, SAL, LIG, USE]
Aronson J 1989 pp 65
INSPIRE species 90 [RAIN, TEMP, TEXT, PH, DRA, SAL, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 392-393 [TEMP, KTMP, RAIN, TEXT, SAL, DRA, USE]"
"5929","Cun.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","red ironbark, mugga, forest red gum","","BRIEF DESCRIPTION  A medium sized evergreen tree 10-25 m in height, while the trunk may reach a diameter of 100 cm. The trunk is up to 1/2 of the tree height and often of a poor form. Sapwood yellowish, heartwood dark red with moderately fine texture and interlocked grain, very hard, strong and very durable. USES  The wood is used for heavy engineering construction and for railway sleepers. GROWING PERIOD  Perennial. COMMON NAMES  Red ironbark, Victorian ironbark, Mugga, Mugga ironbark. FURTHER INF  Red ironbark can in subtropical areas be found at elevations between sea level and 2000 m and in the tropics between 1300-2000 m. Its natural latitudinal range in Australia is 25-36°S. The tree can be found on gentle slopes and plains. It is drought hardy. Annual wood production potential is 4-9 m3/ha.","SOURCES (E. sideroxylon Cunn. ex Woolls ssp. sideroxylon)
Webb D 1984 pp 174 [RAIN, TEMP, TEXT, PH, DRA, DEP, SAL, LIG, KTMP, USE]
Troup R 1921 pp 587
INSPIRE species 91 [RAIN, TEMP, TEXT, PH, DRA, DEP, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 542-544 [TEMP, KTMP, RAIN, TEXT, DRA, FER, DEP]"
"5930","L. Johns.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","Tasmanian ironbark, gum-top tree","","BRIEF DESCRIPTION  The tree is commonly 25-35 m in height but depending on the site it can be found with heights between 15-45 m. The bole is commonly 60-90 cm in diameter. On good sites the tree has a long straight trunk up to two-thirds of the tree height. Sapwood up to 2.5 cm wide, hardwood light brown, with distinct growth rings. USES  The wood is used for structural engineering, bridges, wharves, fencing, sleepers, flooring, plywood, crates and pulp. GROWING PERIOD  Perennial tree. COMMON NAMES  Silvertop ash, Coast ash, Black ash, Ironbark. FURTHER INF  Silvertop ash can be found at elevations from sea level to 1100 m. The latitudinal range in Australia is 33-42°S. The tree is found on undulating to hill country from near sea level to slopes of coastal ranges and tablelands. (pH estimated by the compiler).","SOURCES (Eucalyptus sieberi L. Johnson)
Boland D 1984 pp 318-321 [TEMP, KTMP, RAIN, TEXT, DRA, FER, USE]"
"5931","R.T. Baker","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","DESCRIPTION: Medium sized to tall forest tree. Reduced to mallee form in higher, more exposed sites. Bark is rough, thick, greyish brown over most of the trunk, and has compact, narrow longitudinal fissures. Bark shedding from upper trunk in long ribbons, and remains hanging in the crown. Smooth, creamy white surface underneath. Leaves are characteristically long and narrow. Flowers from January to March. Flowers are white. Simple axillary inflorescence. Has 7 flowers on slender peduncles. Buds are diamond shaped to bulbous, dark green, and a scar is present. USE: Wood is used as timber. GROWING PERIOD: Perennial. COMMON NAMES: Gully Gum, Gully Peppermint, Blackbutt Peppermint. FURTHER INF: Found on the coastal ranges adjacent to the escarpment and table lands of southern New South Wales, and into the ranges of far eastern Victoria. Occurs on lower slopes of hills, and on edges of streams and swamps, but is by know means restricted to gullies. Favours cool to warm humid to sub-humid climate.","SOURCE: CSIRO, Eucalyptus trees Database (16.05.02) E5931"
"5932","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A multi-stemmed shrub or small tree usually 2-9 m tall but may reach up to 12 m. USES  The wood can be used as fuelwood, posts, and poles. The tree can be utilized for windbreaks and light shade and it is a good source of honey. The leaves contain cineole oil. GROWING PERIOD  Perennial. COMMON NAMES  Red mallee, Pointed mallee, Giant mallee, Christmas mallee. FURTHER INF  Red mallee occurs in the dry regions of southern and central Australia within the latitudinal range 22-37°S at elevations between sea level and 600 m. It is mainly found on undulating sand plains, dunefields, and low ridges in foothills. It is resistant to drought, fire and frost.","SOURCES (E. socialis F. Muell.)
Turnbull J 1986 pp 264-265 [TEMP, KTMP, RAIN, TEXT, PH, DEP, DRA, USE]"
"5933","","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","SOURCES (E. st.-johnii (R.T. Bak.) R.T. Bak.)
Webb D 1984 pp 175 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
INSPIRE species 92 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Pryor L 1994 (pers. comm.)
GROWING PERIOD
Perennial tree. Can be grown with a 6-10 year fuelwood rotation.
COMMON NAMES
St. John's gum, Eurabbie.
FURTHER INF
Scientific synonym: E. bicostata. St. John's gum can in tropical and subtropical regions be found at elevations from 100 to 3500 m. The tree occur naturally within the latitudinal range of 31-40°S. The tree can reach a height of 30-40 m. It is windfirm. Annual wood production potential is 10-25 m3/ha.",""
"5934","Maiden","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A small to tall tree 10-50 m in height, while the trunk may reach a diameter of 50-150 cm. Typically found as a small to medium sized montane species. In less-exposed sites the tree often has an almost straight trunk with many lateral branches, in open situation persisting nearly to ground level. Heartwood pale pink-brown and of moderately high density. USES  The wood is readily worked, used for joinery and cabinet work. GROWING PERIOD  Perennial. COMMON NAMES  Tasmanian alpine yellow gum. FURTHER INF  Tasmanian alpine yellow gum is native of Tasmania. The tree occurs naturally within the latitudinal range of 41.5-43.5°S at altitudes between 550-1200 m. It can be found on mountain tops, on steep, exposed ridges, on steep and moderate slopes and on plateaux. (pH estimated by the compiler).","SOURCES (E. subcrenulata Maiden & Blakely)
Boland D 1984 pp 462-463 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5936","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","Moreton Bay ash, carbeen, eucalipto de Moreton","","BRIEF DESCRIPTION  A medium sized to tall tree reaching 12-35 m in height. The trunk may reach 100 cm in diameter, it is almost always straight and form one-half to two-thirds of the total tree height. The crown has slender branches. Sapwood light brown, heartwood dark chocolate brown, tough, hard and strong. USES  Used for general construction purposes. GROWING PERIOD  Perennial. COMMON NAMES  Carbeen, Moreton Bay ash. FURTHER INF  In Australia, the latitudinal range of the tree is 10.7-30°S and it occur at elevations between sea level and 450 m. Carbeen can be found on plains and on undulating topography. (pH estimated by the compiler).","SOURCES (E. tessellaris F. Muell.) 
Boland D 1984 pp 206-207 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5937","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree reaching 15-30 m in height, while the trunk may reach 60-100 cm in diameter. The trunk is generally straight and form one-half to two-thirds of the tree height. The crown is somewhat open and the branches relatively straight. Sapwood yellow, heartwood pale red, fairly hard, dense and moderately durable. USES  Used for poles and general house construction. GROWING PERIOD  Perennial. COMMON NAMES  Darwin stringybark, Stringybark, Messmate. FURTHER INF  In Australia, the latitudinal range of the tree is 11-18°S and it occur at elevations between sea level and 300 m. The tree usually occurs on country of low relief, but also extends to tablelands. (pH estimated by the compiler).","SOURCES (Eucalyptus tetrodonta F. Muell.)
Boland D 1984 pp 240-241 [TEMP, KTMP, RAIN, TEXT, DEP, DRA, FER, USE]"
"5938","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A small to medium sized tree 8-25 m in height, while the trunk may reach a diameter of 90 cm. The trunk is sometimes fluted near the base and short to 1/2 of the tree height. Sapwood yellowish white, heartwood  dark brown to almost black, with numerous white inclusions, hard, heavy and durable. USES  The wood is used for general construction, poles and posts. GROWING PERIOD  Perennial. COMMON NAMES  Mountain yapunyah, Thozet's box, Thozet's ironbox, Lapunyah. FURTHER INF  In Australia, the tree occurs naturally within the latitudinal range of 20-28°S at altitudes between 100-650 m. Mountain yapunyah can be found on plains and undulating country, on small hills and ridges. (pH estimated by the compiler).","SOURCES (E. thozetiana F. Muell.)
Boland D 1984 pp 506-507 [TEMP, KTMP, RAIN, DRA, TEXT, FER, DEP, USE]"
"5939","F. Muell.","Magnoliopsida:Rosidae:Myrtales:Myrtaceae","","","","BRIEF DESCRIPTION  A medium sized to tall tree reaching 20-30 m in height, while the trunk may reach 100 cm in diameter. The tree usually has a good form with a straight bole to two-thirds of the tree height. USE  The wood is durable in contact with the ground and has been used for vehicle bodies and bridge deckings. The tree can be planted as a shade tree. GROWING PERIOD  Perennial. COMMON NAMES  Cadaga, Cadaghi. FURTHER INF  The natural latitudinal range of cadaga in Australia is 16-19°S. It can be found at elevations between 30-1800 m. The tree is windfirm. Gives dense shade and supresses grass. It is mainly found on slopes of coastal ranges.","SOURCES (E. torelliana F. Mueller)
Webb D 1984 pp 177 [RAIN, TEMP, TEXT, PH, DRA, SAL, LIG, USE]
INSPIRE species 94 [RAIN, TEMP, TEXT, PH, DRA, SAL, LIG, USE]
Pryor L 1994 (pers. comm.)
Boland D 1984 pp 230-231 [TEMP, KTMP, RAIN, TEXT, DRA]
Soerianegara I 1993 pp 200 & 210 [USE]"
