"crop_code","species","Life.form","Habit","Life.span","Physiology","Category","Plant.attributes","temp_opt_min","Temp_Opt_Max","Temp_Abs_Min","Temp_Abs_Max","Rain_Opt_Min","Rain_Opt_Max","Rain_Abs_Min","Rain_Abs_Max","Lat_Opt_Min","Lat_Opt_Max","Lat_Abs_Min","Lat_Abs_Max","Alt_Opt_Min","Alt_Opt_Max","Alt_Abs_Min","Alt_Abs_Max","pH_Opt_Min","pH_Opt_Max","pH_Abs_Min","pH_Abs_Max","Light_Opt_Min","Light_Opt_Max","Light_Abs_Min","Light_Abs_Max","Depth_Opt","Depth_Abs","Texture_Ops","Texture_Abs","Fertility_Ops","Fertility_Abs","Al_Toxicity_Opt","Al_Toxicity_Abs","Salinity_Ops","Salinity_Abs","drainage_opt","drainage_abs","Climate.Zone","photoperiod","Killing.temp..during.rest","Killing.temp..early.growth","Abiotic.toler.","Abiotic.suscept.","Introduction.risks.","Product..system","Cropping.system","Subsystem","Companion.species","Level.of.mechanization","Labour.intensity","cycle_min","cycle_max","use.main","use.detailed","use.part","datasheet_url"
"2486","Alocasia macrorrhizos","herb","erect","biennial","single stem","vegetables","","20","25","10","32","2500","3500","2000","4200","-","-","20","20","---","---","-","1000","5.7","6.3","5","7.3","cloudy skies","cloudy skies","cloudy skies","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet (Ar)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","365","365","food & beverage","starch","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2486"
"2494","Eleocharis dulcis","herb","","annual","multi stem","materials","","23","29","15","34","1600","2000","1300","4000","-","-","-","-","---","---","-","1200","6.9","7.3","6.5","7.6","very bright","very bright","very bright","cloudy skies","shallow (20-50 cm)","shallow (20-50 cm)","heavy","heavy","high","","","","low (<4 dS/m)","","poorly (saturated >50% of year)","poorly (saturated >50% of year)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours)","5","5","flooding","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","200","240","material","gums/resins","","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2494"
"2499","Bruguiera gymnorrhiza","tree","erect","perennial","evergreen, single stem, C3 photosynthesis","fruits & nuts, vegetables, materials, forest/wood, environmental","grown on small scale","20","26","15","30","1500","6000","1000","8000","5","-","20","25","---","---","-","50","7","8","6.5","8.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light, wide, organic","high","moderate","","","medium (4-10 dS/m)","medium (4-10 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","short day (<12 hours)","no input","no input","flooding, coastal salt spray","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","365","365","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2499"
"2501","Avicennia officinalis","shrub, tree","erect","perennial","evergreen, single stem, multi stem, C3 photosynthesis","fruits & nuts, forest/wood","","25","34","15","38","1000","3000","800","4000","10","10","23","23","---","---","-","50","6.5","7","6","7.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy","heavy, medium, light","high","moderate","","","medium (4-10 dS/m)","high (>10 dS/m))","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","-1","-1","flooding, coastal salt spray","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","365","fuels","fuelwood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2501"
"2507","Musa balbisiana","herb","erect","perennial","single stem","forage/pasture, fruits & nuts, medicinals & aromatic, environmental","grown on small scale","23","28","16","38","1300","3000","1000","5000","-","-","15","15","---","---","-","1200","5.5","7","4.5","7.5","very bright","clear skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","8","12","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","365","365","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2507"
"2508","Coffea excelsa","tree","erect","perennial","evergreen, single stem","forage/pasture, fruits & nuts, materials, environmental","grown on small scale","13","26","9","32","1500","2400","800","3500","10","10","20","20","---","---","-","750","4.5","6.5","4","7.5","clear skies","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","365","food & beverage","minerals","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2508"
"2509","Chenopodium quinoa","herb","erect","annual","","cereals & pseudocereals, forage/pasture, vegetables, medicinals & aromatic","grown on small scale","14","18","2","35","500","1000","250","2600","-","-","30","40","---","---","-","4000","5.5","8","4.5","9.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-8","-8","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","240","food & beverage","vitamins","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2509"
"2514","Carthamus tinctorius","herb","erect","annual","multi stem, C3 photosynthesis","materials, medicinals & aromatic","grown on large scale, grown on small scale","20","32","5","45","600","1000","300","1400","-","-","20","40","---","---","100","1800","6.5","7.5","5","8","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-14","-2","","","","large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","120","245","material","dye/tannin","flowers","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2514"
"2516","Phaseolus acutifolius","herb","prostrate/procumbent/semi-erect, climber/scrambler/scadent","annual","","pulses (grain legumes), cover crop","grown on small scale","20","30","8","38","600","1000","300","1700","25","-","35","40","---","---","-","1900","6","7","5","8","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light, organic","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","120","food & beverage","protein","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2516"
"2519","Lupinus angustifolius","herb","erect","annual","single stem","pulses (grain legumes), forage/pasture, medicinals & aromatic","grown on small scale","12","18","4","26","400","1000","350","1700","-","-","-","-","---","---","-","2500","5.5","7","4.9","8.2","very bright","cloudy skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","long day (>14 hours)","-6","-6","","","","large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","100","180","animal food (feed)","protein","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2519"
"2520","Macroptilium longepedunculatum",NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","---","---","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0",NA,NA,NA,"http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2520"
"2521","Vigna lanceolata",NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","---","---","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0",NA,NA,NA,"http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2521"
"2524","Vigna aconitifolia","herb","prostrate/procumbent/semi-erect","annual, perennial","multi stem","pulses (grain legumes), forage/pasture, vegetables, environmental","grown on small scale","24","32","13","45","500","900","400","2500","5","-","30","60","---","---","-","1200","6.5","7.5","5","8","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","light","heavy, medium, light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours)","no input","no input","","","","small scale (manual), intermediate (animal drawn)","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","90","food & beverage","vitamins","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2524"
"2525","Phaseolus polyanthus","herb","climber/scrambler/scadent","annual","","pulses (grain legumes), forage/pasture, cover crop","grown on small scale","14","24","10","28","1400","2200","1000","2600","-","-","15","40","---","---","-","-","6.2","6.5","5.5","7","very bright","clear skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium, organic","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours)","no input","no input","","","","home garden, small scale (manual)","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","110","365","food & beverage","protein","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2525"
"2526","Indigofera hirsuta","herb","erect, prostrate/procumbent/semi-erect","annual, biennial","multi stem","forage/pasture, materials, medicinals & aromatic, cover crop, environmental, weed","grown on small scale","22","30","13","34","900","1700","750","2700","-","-","30","32","---","---","-","1350","5.5","6.5","4.5","8","clear skies","cloudy skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours)","no input","no input","","","can become a weed","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","210","material","dye/tannin","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2526"
"2528","Solanum muricatum","herb","erect","annual, biennial, perennial","multi stem","vegetables","grown on small scale","15","25","10","30","800","1400","500","2000","-","-","35","40","---","---","-","3300","6.5","7","6","7.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)","-3","0","","","","small scale (manual)","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","170","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2528"
"2541","Agropyron intermedium","grass","erect","perennial","multi stem","forage/pasture, environmental","","15","20","5","36","400","600","300","1160","30","30","55","55","---","---","300","1070","6.5","7.5","5.5","8.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","long day (>14 hours)","-25","-5","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","229","environmental","erosion control","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2541"
"2542","Pinus palustris","tree","erect","perennial","evergreen, semi evergreen, deciduous, single stem","materials, ornamentals/turf, forest/wood, environmental","","22","31","10","35","1300","1700","1000","2000","27","27","36","36","---","---","-","1500","4.5","5.5","4","6.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-2","0","fire, wind","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","300","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2542"
"2543","Pinus pinaster","tree","erect","perennial","evergreen, single stem","forest/wood, environmental","","18","30","6","34","800","1100","625","1300","38","34.5","42","45.5","---","---","-","2500","4.5","5.5","4","6.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","light","light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)","subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-2","0","wind, coastal salt spray","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","330","environmental","shade & shelter","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2543"
"2545","Pinus ponderosa","tree","erect","perennial","evergreen, single stem","ornamentals/turf, forest/wood, environmental","","15","24","4","28","500","800","250","1750","25","23","48","52","---","---","-","3000","5.5","7.5","4.9","9.1","very bright","clear skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium, light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-5","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","240","330","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2545"
"2550","Abies alba","tree","erect","perennial","evergreen, single stem","medicinals & aromatic, forest/wood","grown on large scale","-","-","-","-","-","-","-","-","-","-","-","-","---","---","-","2000","-","-","-","-","","","","","","","","","","","","","","","","","temperate oceanic (Do), temperate continental (Dc)","","no input","no input","","","","large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2550"
"2551","Abies balsamea","tree","erect","perennial","evergreen, single stem","materials, forest/wood","","10","18","4","26","750","1100","400","1500","45","42","55","58","---","---","-","1900","5","6.5","4.5","7.5","cloudy skies","clear skies","cloudy skies","clear skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, organic","heavy, medium, light, wide, organic","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)","temperate oceanic (Do), temperate continental (Dc), boreal (E)",NA,"-25","0","",NA,"","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","100","160","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2551"
"2553","Abies concolor","tree","erect","perennial","evergreen, single stem","ornamentals/turf, forest/wood, environmental","harvested from wild","10","18","5","22","800","1200","350","1900","32","30","42","44","---","---","600","3100","4.5","6.5","4","7","cloudy skies","very bright","cloudy skies","very bright","deep (>>150 cm)","shallow (20-50 cm)","medium","heavy, medium, light, wide","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours)","-20","-1","","fire","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","180","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2553"
"2558","Abies pindrow","tree","erect","perennial","evergreen, single stem","forest/wood","harvested from wild","16","24","2","32","1300","2000","1100","2500","-","-","-","-","---","---","2500","4000","5.5","6.5","5","7.5","very bright","clear skies","very bright","heavy shade","deep (>>150 cm)","deep (>>150 cm)","medium","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-10","0","","wind","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","180","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2558"
"2561","Abroma augustum","shrub, tree","erect","perennial","single stem, multi stem","materials, environmental","harvested from wild","26","31","18","36","1500","3000","1300","3500","-","-","-","-","---","---","-","1200","5","6","4.5","6.5","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","no input","no input","humidity","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","100","210","material","fibres","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2561"
"2569","Acacia acradenia","shrub","erect","perennial","multi stem","","","24","34","8","42","400","800","200","1000","-","-","-","-","---","---","-","-","7","8","6.5","8.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","medium, light","moderate","","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-5","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","300",NA,NA,NA,"http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2569"
"2570","Acacia acuminata","shrub, tree","erect","perennial","single stem, multi stem","forest/wood","harvested from wild","17","28","6","38","350","500","300","700","29","27","33","35","---","---","-","400","6","7","5.5","7.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-5","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","180","environmental","shade & shelter","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2570"
"2575","Acacia ammobia","shrub, tree","erect","perennial","single stem, multi stem","ornamentals/turf, forest/wood, environmental","harvested from wild","24","36","10","43","200","250","150","300","23","23","26","26","---","---","450","600","5","6","4.5","6.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","light","light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)","desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-5","-1","drought","fire","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","120","fuels","fuelwood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2575"
"2576","Acacia ampliceps","shrub, tree","erect","perennial","deciduous, single stem, multi stem","forage/pasture, materials, forest/wood, environmental","grown on small scale, harvested from wild","14","36","5","46","400","600","200","800","16","14","24","26","---","---","-","400","7","8","6.5","8.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","heavy, medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","high (>10 dS/m))","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","180","animal food (feed)","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2576"
"2578","Acacia ancistrocarpa","shrub","erect","perennial","deciduous, multi stem","forage/pasture, forest/wood, environmental","grown on small scale, harvested from wild","22","34","10","46","300","500","250","700","18","16","23","25","---","---","-","500","5.5","7","4.5","8","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","light","medium, light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-2","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","180","animal food (feed)","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2578"
"2579","Acacia aneura","shrub, tree","erect","perennial","deciduous, single stem, multi stem","fruits & nuts, forest/wood, environmental","grown on small scale, harvested from wild","20","34","8","46","250","450","150","550","20","18","32","34","---","---","-","1000","5.5","7","4.5","7.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","light","heavy, medium, light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-7","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","180","food & beverage","vitamins","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2579"
"2580","Acacia anticeps","shrub, tree","erect","perennial","single stem, multi stem","forest/wood","harvested from wild","18","28","8","36","250","450","150","550","10","10","20","20","---","---","-","-","6.5","7.5","5.5","8.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","light","light","low","","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","210","food & beverage","minerals","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2580"
"2581","Acacia argyrodendron","tree","erect","perennial","single stem","forage/pasture, forest/wood, environmental","harvested from wild","22","32","10","40","450","550","350","650","20","20","24","24","---","---","150","350","6.5","8","5","9","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","drought","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","210","fuels","fuelwood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2581"
"2582","Acacia ataxacantha","vine, shrub","erect, climber/scrambler/scadent","perennial","multi stem","forage/pasture, materials, medicinals & aromatic, forest/wood, environmental","harvested from wild","22","35","10","45","500","1300","300","1500","10","-","20","30","---","---","-","1000","6","7","5.5","7.5","clear skies","very bright","clear skies","very bright","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium","heavy, medium","moderate","low","","","","","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), steppe or semiarid (Bs)","","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0","animal food (feed)","minerals","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2582"
"2583","Acacia aulacocarpa","shrub, tree","erect","perennial","single stem, multi stem","ornamentals/turf, forest/wood, environmental","grown on small scale","18","32","12","43","900","1200","500","1500","10","6","25","31","---","---","-","1000","5","6","4","7","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","heavy, medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","180","300","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2583"
"2586","Acacia bidwillii","tree","erect","perennial","single stem","forage/pasture, environmental","harvested from wild","22","32","10","40","550","750","450","850","16","16","26","26","---","---","-","350","5.5","6.5","5","7","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours)","no input","no input","fire","","can become a weed","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","180","300","animal food (feed)","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2586"
"2588","Acacia brachystachya","shrub, tree","erect","perennial","deciduous, single stem, multi stem","forage/pasture, fruits & nuts, forest/wood","harvested from wild","20","40","4","58","250","300","150","500","23","21","32","34","---","---","-","600","5.5","7","4.5","7.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours)","-5","0","drought","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","180","food & beverage","vitamins","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2588"
